Artikelname;Artikelnummer;GTIN
400Watt Xilence XP400 Performance C - XN051;101312;4,04495E+12
1000W Gigabyte UD1000GM PG5 ATX 2.31 PCIe 5.0 80+ Gold;103300;4,71933E+12
Gigabyte GeForce RTX 5090 AORUS MASTER ICE 32G OC;107173;4,71933E+12
AMD Ryzen 7 PRO 5755G - 8x 3.8GHz (Turbotakt bis 4.6GHz);107174;0730143317047
MSI B850 Gaming Plus Wifi PZ AM5;107162;4,71138E+12
MSI PRO Z890-S WIFI PZ DDR5 - LGA1851;107163;4,71138E+12
1TB M.2 SSD (NVMe) WD Blue SN5100;107192;0718037906256
4TB M.2 SSD (NVMe) WD_BLACK SN8100;107204;0619659220891
MSI MAG PANO 110R PZ Mid Tower Schwarz;107168;4,71138E+12
32GB DDR5-6000 CL26 G.Skill TZ5 Royal Neo Gold - Kit - 2x 16GB;106901;4,71329E+12
32GB DDR5-6000 CL30 Kingston FURY Beast RGB - Kit - 2 x 16 GB Weiß;106874;0740617343311
4TB S-ATA III HDD Festplatte;103305;
Intel Core i9-12900K - 8x 3.20GHz + 8x 2.40GHz (Turbotakt bis 5.2GHz);103141;5,03204E+12
512GB M.2 SSD (SATA);102486;4,25154E+12
"ASUS ProArt PA279CRV - LED-Monitor - 68.6 cm (27"")";106532;4,71108E+12
120x120 Gehäuselüfter - Neutral;103127;
