Artikelnummer;Beschreibung
102528;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>AMD Ryzen 5 3400G</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">AMD Ryzen 5 3400G</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 0730143309837</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/102528-1.jpg"" alt=""AMD Ryzen 5 3400G"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>4</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>8</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>Socket AM4</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.7 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>4.2 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>2 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>4 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>65 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Radeon RX Vega 11</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>20 PCIe 3.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>12 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Picasso</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
102934;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>AMD Ryzen 7 5800X</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">AMD Ryzen 7 5800X</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 730143312714</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/102934-1.jpg"" alt=""AMD Ryzen 7 5800X"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>8</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>16</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>AM4</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.8 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>4.7 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>4 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>32 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>105 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Nein</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>20 Lanes PCIe 4.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>7 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Vermeer</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
102935;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>AMD Ryzen 5 5600X</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">AMD Ryzen 5 5600X</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 3540260185668</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/102935-1.jpg"" alt=""AMD Ryzen 5 5600X"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>6</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>12</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>Socket AM4</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.7 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>4.6 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>3 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>32 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>65 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Nein</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>4.0 / 3.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>7 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Vermeer</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103125;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>AMD Ryzen 7 5700G</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">AMD Ryzen 7 5700G</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103125-1.jpg"" alt=""AMD Ryzen 7 5700G"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>8</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>16</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>Socket AM4</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.8 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>4.6 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>4 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>16 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>65 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Radeon Vega 8</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>16 und PCIe 3.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>7 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Cezanne</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103141;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Intel Core i9-12900K</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Intel Core i9-12900K</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 5032037234641</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103141-1.jpg"" alt=""Intel Core i9-12900K"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>16</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>24</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.2 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>5.2 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>14 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>30 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>125 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Intel UHD Graphics 770</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>16x PCIe 5.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>10 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Alder Lake-S</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103166;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Intel Core i7-12700K</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Intel Core i7-12700K</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 5032037233989</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103166-1.jpg"" alt=""Intel Core i7-12700K"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>12</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>20</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.6 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>5.0 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>12 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>25 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>125 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Intel UHD Graphics 770</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>16x PCIe 5.0, 4x PCIe 4.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>10 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Alder Lake</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103167;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Intel Core i5-12600K</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Intel Core i5-12600K</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 5032037234108</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103167-1.jpg"" alt=""Intel Core i5-12600K"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>10</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>16</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.7 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>4.9 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>N/A</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>20 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>125 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Intel UHD Graphics 770</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>16x PCIe 5.0, 4x PCIe 4.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>10 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Alder Lake-S</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103219;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Intel Core i5-12400</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Intel Core i5-12400</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 5032037237741</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103219-1.jpg"" alt=""Intel Core i5-12400"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>6</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>12</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>2.50 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>4.40 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>7.5 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>18 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>65 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Intel UHD Graphics 730</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>16 (Revision 5.0)</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>10 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Alder Lake-S</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103233;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Intel Core i9-12900KF</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Intel Core i9-12900KF</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                                  <span class=""ean"">GTIN/EAN: 5032037234221</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103233-1.jpg"" alt=""Intel Core i9-12900KF"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>16</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>24</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>3.2 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>5.2 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>14 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>30 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>125 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Nein</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>20x PCIe 5.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>10 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Alder Lake</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
103234;"<!DOCTYPE html> <html lang=""de""> <head>     <meta charset=""UTF-8"">     <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">     <title>Intel Core i9-12900F</title>     <link rel=""stylesheet"" href=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/CSS/styles.css""> </head> <body>      <div class=""datasheet-container"">                  <header class=""product-header"">             <h1 class=""product-title"">Intel Core i9-12900F</h1>             <div class=""product-meta"">                 <span class=""badge"">Prozessor (CPU)</span>                              </div>         </header>          <div class=""product-grid"">                          <div class=""image-wrapper"">                                      <img src=""https://www.systemtreff.de/bilder/landingpage/Technische_Daten/Images/103234-1.jpg"" alt=""Intel Core i9-12900F"" class=""product-image"">                              </div>              <div class=""details-wrapper"">                 <h2 class=""specs-title"" style=""margin-top: 0;"">Technische Daten</h2>                 <table class=""specs-table"">                     <tbody>                                                  <tr>                             <th>Prozessorkerne</th>                             <td>16</td>                         </tr>                                                  <tr>                             <th>Prozessor-Threads</th>                             <td>24</td>                         </tr>                                                  <tr>                             <th>Sockel</th>                             <td>LGA 1700</td>                         </tr>                                                  <tr>                             <th>Basistakt</th>                             <td>2.4 GHz</td>                         </tr>                                                  <tr>                             <th>Turbotakt</th>                             <td>5.1 GHz</td>                         </tr>                                                  <tr>                             <th>L2 Cache</th>                             <td>14 MB</td>                         </tr>                                                  <tr>                             <th>L3 Cache</th>                             <td>30 MB</td>                         </tr>                                                  <tr>                             <th>TDP</th>                             <td>65 Watt</td>                         </tr>                                                  <tr>                             <th>Integrierte Grafikeinheit</th>                             <td>Nein</td>                         </tr>                                                  <tr>                             <th>PCIe Lanes</th>                             <td>16x PCIe 5.0</td>                         </tr>                                                  <tr>                             <th>Fertigung</th>                             <td>10 nm</td>                         </tr>                                                  <tr>                             <th>Codename</th>                             <td>Alder Lake</td>                         </tr>                                              </tbody>                 </table>             </div>         </div>                            <footer class=""datasheet-footer"">             Datenblatt generiert am 07.01.2026         </footer>      </div>  </body> </html>"
